piece_id,scraping_id,app_id,device_id,date_scraped,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data,piece_name,city_name,scraped,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y,center_point_x,center_point_y
Collado Villalba--piece--0-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857615000,0,0,0,0,,piece--0-0,Collado Villalba,1,-4.02967,40.6541,-4.02449,40.6487,-4.02708,40.6514
Collado Villalba--piece--0-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857627000,1695,1,0,0,,piece--0-1,Collado Villalba,1,-4.02967,40.6487,-4.02449,40.6433,-4.02708,40.646
Collado Villalba--piece--0-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857632000,2373.02,2,0,0,,piece--0-2,Collado Villalba,1,-4.02967,40.6433,-4.02449,40.6378,-4.02708,40.6405
Collado Villalba--piece--0-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857641000,1106.39,2,0,0,,piece--0-3,Collado Villalba,1,-4.02967,40.6378,-4.02449,40.6324,-4.02708,40.6351
Collado Villalba--piece--0-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857650000,1532.34,3,0,0,,piece--0-4,Collado Villalba,1,-4.02967,40.6324,-4.02449,40.627,-4.02708,40.6297
Collado Villalba--piece--0-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857660000,1472.29,14,0,0,,piece--0-5,Collado Villalba,1,-4.02967,40.627,-4.02449,40.6216,-4.02708,40.6243
Collado Villalba--piece--0-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857666000,1112.56,6,0,0,,piece--0-6,Collado Villalba,1,-4.02967,40.6216,-4.02449,40.6162,-4.02708,40.6189
Collado Villalba--piece--1-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857679000,1291.25,3,0,0,,piece--1-0,Collado Villalba,1,-4.02449,40.6541,-4.01932,40.6487,-4.0219,40.6514
Collado Villalba--piece--1-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857694000,1655.99,19,0,0,,piece--1-1,Collado Villalba,1,-4.02449,40.6487,-4.01932,40.6433,-4.0219,40.646
Collado Villalba--piece--1-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857700000,1554.79,21,0,0,,piece--1-2,Collado Villalba,1,-4.02449,40.6433,-4.01932,40.6378,-4.0219,40.6405
Collado Villalba--piece--1-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857711000,1485.29,6,0,0,,piece--1-3,Collado Villalba,1,-4.02449,40.6378,-4.01932,40.6324,-4.0219,40.6351
Collado Villalba--piece--1-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857733000,1316.21,7,0,0,,piece--1-4,Collado Villalba,1,-4.02449,40.6324,-4.01932,40.627,-4.0219,40.6297
Collado Villalba--piece--1-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857739000,0,0,0,0,,piece--1-5,Collado Villalba,1,-4.02449,40.627,-4.01932,40.6216,-4.0219,40.6243
Collado Villalba--piece--1-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857744000,1832.3,11,9.71914,3,,piece--1-6,Collado Villalba,1,-4.02449,40.6216,-4.01932,40.6162,-4.0219,40.6189
Collado Villalba--piece--2-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857755000,1945.08,4,0,0,,piece--2-0,Collado Villalba,1,-4.01932,40.6541,-4.01414,40.6487,-4.01673,40.6514
Collado Villalba--piece--2-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857765000,0,0,0,0,,piece--2-1,Collado Villalba,1,-4.01932,40.6487,-4.01414,40.6433,-4.01673,40.646
Collado Villalba--piece--2-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857776000,1729.32,1,0,0,,piece--2-2,Collado Villalba,1,-4.01932,40.6433,-4.01414,40.6378,-4.01673,40.6405
Collado Villalba--piece--2-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857789000,1872.3,15,0,0,,piece--2-3,Collado Villalba,1,-4.01932,40.6378,-4.01414,40.6324,-4.01673,40.6351
Collado Villalba--piece--2-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857797000,1841.87,30,6.81818,1,,piece--2-4,Collado Villalba,1,-4.01932,40.6324,-4.01414,40.627,-4.01673,40.6297
Collado Villalba--piece--2-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857805000,1345.77,3,0,0,,piece--2-5,Collado Villalba,1,-4.01932,40.627,-4.01414,40.6216,-4.01673,40.6243
Collado Villalba--piece--2-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857818000,1559.52,15,8.89738,3,,piece--2-6,Collado Villalba,1,-4.01932,40.6216,-4.01414,40.6162,-4.01673,40.6189
Collado Villalba--piece--3-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857824000,1725.41,5,0,0,,piece--3-0,Collado Villalba,1,-4.01414,40.6541,-4.00896,40.6487,-4.01155,40.6514
Collado Villalba--piece--3-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857832000,0,0,0,0,,piece--3-1,Collado Villalba,1,-4.01414,40.6487,-4.00896,40.6433,-4.01155,40.646
Collado Villalba--piece--3-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857843000,1704.51,15,7.65,1,,piece--3-2,Collado Villalba,1,-4.01414,40.6433,-4.00896,40.6378,-4.01155,40.6405
Collado Villalba--piece--3-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857852000,1541.51,12,7.6,2,,piece--3-3,Collado Villalba,1,-4.01414,40.6378,-4.00896,40.6324,-4.01155,40.6351
Collado Villalba--piece--3-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857862000,1646.02,29,8.33333,1,,piece--3-4,Collado Villalba,1,-4.01414,40.6324,-4.00896,40.627,-4.01155,40.6297
Collado Villalba--piece--3-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857868000,1849.14,14,0,0,,piece--3-5,Collado Villalba,1,-4.01414,40.627,-4.00896,40.6216,-4.01155,40.6243
Collado Villalba--piece--3-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857876000,1521.92,30,0,0,,piece--3-6,Collado Villalba,1,-4.01414,40.6216,-4.00896,40.6162,-4.01155,40.6189
Collado Villalba--piece--4-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857882000,0,0,0,0,,piece--4-0,Collado Villalba,1,-4.00896,40.6541,-4.00379,40.6487,-4.00637,40.6514
Collado Villalba--piece--4-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857897000,0,0,0,0,,piece--4-1,Collado Villalba,1,-4.00896,40.6487,-4.00379,40.6433,-4.00637,40.646
Collado Villalba--piece--4-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857903000,2126.53,21,9.4,2,,piece--4-2,Collado Villalba,1,-4.00896,40.6433,-4.00379,40.6378,-4.00637,40.6405
Collado Villalba--piece--4-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857912000,1730.59,5,0,0,,piece--4-3,Collado Villalba,1,-4.00896,40.6378,-4.00379,40.6324,-4.00637,40.6351
Collado Villalba--piece--4-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857919000,1759.81,29,10.4619,5,,piece--4-4,Collado Villalba,1,-4.00896,40.6324,-4.00379,40.627,-4.00637,40.6297
Collado Villalba--piece--4-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857928000,1619.73,4,8.85417,1,,piece--4-5,Collado Villalba,1,-4.00896,40.627,-4.00379,40.6216,-4.00637,40.6243
Collado Villalba--piece--4-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857937000,1508.81,26,7.79798,3,,piece--4-6,Collado Villalba,1,-4.00896,40.6216,-4.00379,40.6162,-4.00637,40.6189
Collado Villalba--piece--5-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857947000,1771.74,8,0,0,,piece--5-0,Collado Villalba,1,-4.00379,40.6541,-3.99861,40.6487,-4.0012,40.6514
Collado Villalba--piece--5-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857956000,0,0,0,0,,piece--5-1,Collado Villalba,1,-4.00379,40.6487,-3.99861,40.6433,-4.0012,40.646
Collado Villalba--piece--5-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857964000,1067.86,2,0,0,,piece--5-2,Collado Villalba,1,-4.00379,40.6433,-3.99861,40.6378,-4.0012,40.6405
Collado Villalba--piece--5-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857970000,2020.39,7,6.84211,1,,piece--5-3,Collado Villalba,1,-4.00379,40.6378,-3.99861,40.6324,-4.0012,40.6351
Collado Villalba--piece--5-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857980000,1699.25,29,9.45378,3,,piece--5-4,Collado Villalba,1,-4.00379,40.6324,-3.99861,40.627,-4.0012,40.6297
Collado Villalba--piece--5-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857989000,1682.63,9,0,0,,piece--5-5,Collado Villalba,1,-4.00379,40.627,-3.99861,40.6216,-4.0012,40.6243
Collado Villalba--piece--5-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543857995000,1917.63,4,9.67391,1,,piece--5-6,Collado Villalba,1,-4.00379,40.6216,-3.99861,40.6162,-4.0012,40.6189
Collado Villalba--piece--6-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858003000,1720.5,16,0,0,,piece--6-0,Collado Villalba,1,-3.99861,40.6541,-3.99343,40.6487,-3.99602,40.6514
Collado Villalba--piece--6-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858009000,1780.38,22,7.03849,2,,piece--6-1,Collado Villalba,1,-3.99861,40.6487,-3.99343,40.6433,-3.99602,40.646
Collado Villalba--piece--6-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858015000,1168.52,2,0,0,,piece--6-2,Collado Villalba,1,-3.99861,40.6433,-3.99343,40.6378,-3.99602,40.6405
Collado Villalba--piece--6-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858021000,1340.32,14,7.77778,1,,piece--6-3,Collado Villalba,1,-3.99861,40.6378,-3.99343,40.6324,-3.99602,40.6351
Collado Villalba--piece--6-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858032000,1450.61,21,7.72358,1,,piece--6-4,Collado Villalba,1,-3.99861,40.6324,-3.99343,40.627,-3.99602,40.6297
Collado Villalba--piece--6-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858045000,1547.38,9,8.85714,2,,piece--6-5,Collado Villalba,1,-3.99861,40.627,-3.99343,40.6216,-3.99602,40.6243
Collado Villalba--piece--6-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858057000,1575.16,2,0,0,,piece--6-6,Collado Villalba,1,-3.99861,40.6216,-3.99343,40.6162,-3.99602,40.6189
Collado Villalba--piece--7-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858062000,0,0,0,0,,piece--7-0,Collado Villalba,1,-3.99343,40.6541,-3.98826,40.6487,-3.99085,40.6514
Collado Villalba--piece--7-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858069000,1859.88,29,8.1746,2,,piece--7-1,Collado Villalba,1,-3.99343,40.6487,-3.98826,40.6433,-3.99085,40.646
Collado Villalba--piece--7-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858075000,1794.16,22,0,0,,piece--7-2,Collado Villalba,1,-3.99343,40.6433,-3.98826,40.6378,-3.99085,40.6405
Collado Villalba--piece--7-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858085000,3958.33,1,0,0,,piece--7-3,Collado Villalba,1,-3.99343,40.6378,-3.98826,40.6324,-3.99085,40.6351
Collado Villalba--piece--7-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858104000,0,0,0,0,,piece--7-4,Collado Villalba,1,-3.99343,40.6324,-3.98826,40.627,-3.99085,40.6297
Collado Villalba--piece--7-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858110000,0,0,0,0,,piece--7-5,Collado Villalba,1,-3.99343,40.627,-3.98826,40.6216,-3.99085,40.6243
Collado Villalba--piece--7-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858115000,0,0,0,0,,piece--7-6,Collado Villalba,1,-3.99343,40.6216,-3.98826,40.6162,-3.99085,40.6189
Collado Villalba--piece--8-0--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858121000,0,0,0,0,,piece--8-0,Collado Villalba,1,-3.98826,40.6541,-3.98308,40.6487,-3.98567,40.6514
Collado Villalba--piece--8-1--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858128000,1780.68,30,0,0,,piece--8-1,Collado Villalba,1,-3.98826,40.6487,-3.98308,40.6433,-3.98567,40.646
Collado Villalba--piece--8-2--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858137000,1470.19,6,0,0,,piece--8-2,Collado Villalba,1,-3.98826,40.6433,-3.98308,40.6378,-3.98567,40.6405
Collado Villalba--piece--8-3--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858147000,0,0,0,0,,piece--8-3,Collado Villalba,1,-3.98826,40.6378,-3.98308,40.6324,-3.98567,40.6351
Collado Villalba--piece--8-4--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858153000,0,0,0,0,,piece--8-4,Collado Villalba,1,-3.98826,40.6324,-3.98308,40.627,-3.98567,40.6297
Collado Villalba--piece--8-5--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858164000,0,0,0,0,,piece--8-5,Collado Villalba,1,-3.98826,40.627,-3.98308,40.6216,-3.98567,40.6243
Collado Villalba--piece--8-6--gCloud,"scraping-fotocasa-gCloud--12_3_2018,_2_46_43_PM",fotocasa,gCloud,1543858169000,0,0,0,0,,piece--8-6,Collado Villalba,1,-3.98826,40.6216,-3.98308,40.6162,-3.98567,40.6189
